"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"473","Frejgatan 20, Stockholm","114","Östra landsbygden","12/1/2019 - 12/31/2019, Every day, Daily Average",1042,828,1309
"473","Frejgatan 20, Stockholm","115","Östra Bollstanäs","12/1/2019 - 12/31/2019, Every day, Daily Average",1199,912,1574
"473","Frejgatan 20, Stockholm","117","Bollstanäs industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1083,815,1439
"473","Frejgatan 20, Stockholm","118","Täby kyrka","12/1/2019 - 12/31/2019, Every day, Daily Average",1181,971,1435
"473","Frejgatan 20, Stockholm","121","Runö gård","12/1/2019 - 12/31/2019, Every day, Daily Average",1264,1067,1496
"473","Frejgatan 20, Stockholm","122","Midgård","12/1/2019 - 12/31/2019, Every day, Daily Average",1225,1012,1482
"473","Frejgatan 20, Stockholm","124","Rotsunda","12/1/2019 - 12/31/2019, Every day, Daily Average",1052,788,1403
"473","Frejgatan 20, Stockholm","125","Breddens industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1057,794,1407
"473","Frejgatan 20, Stockholm","127","Åkersberga","12/1/2019 - 12/31/2019, Every day, Daily Average",1387,1175,1637
"473","Frejgatan 20, Stockholm","128","Östra Söra","12/1/2019 - 12/31/2019, Every day, Daily Average",1470,1268,1702
"473","Frejgatan 20, Stockholm","129","Tibbleängen","12/1/2019 - 12/31/2019, Every day, Daily Average",1433,1139,1801
"473","Frejgatan 20, Stockholm","130","Södra Runö industri omr","12/1/2019 - 12/31/2019, Every day, Daily Average",1364,1146,1622
"473","Frejgatan 20, Stockholm","131","Rotsunda gård","12/1/2019 - 12/31/2019, Every day, Daily Average",1016,755,1366
"473","Frejgatan 20, Stockholm","132","Kullen","12/1/2019 - 12/31/2019, Every day, Daily Average",1414,1231,1623
"473","Frejgatan 20, Stockholm","133","Järvafältet","12/1/2019 - 12/31/2019, Every day, Daily Average",1188,771,1829
"473","Frejgatan 20, Stockholm","134","Gillberga","12/1/2019 - 12/31/2019, Every day, Daily Average",1119,821,1523
"473","Frejgatan 20, Stockholm","135","Tråsätra","12/1/2019 - 12/31/2019, Every day, Daily Average",1555,1349,1791
"473","Frejgatan 20, Stockholm","136","Norra Kungsängen","12/1/2019 - 12/31/2019, Every day, Daily Average",1378,1076,1764
"473","Frejgatan 20, Stockholm","137","S:a Midgårds industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1138,928,1394
"473","Frejgatan 20, Stockholm","140","Vaxmora","12/1/2019 - 12/31/2019, Every day, Daily Average",956,719,1270
"473","Frejgatan 20, Stockholm","141","Runö industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1412,1185,1681
"473","Frejgatan 20, Stockholm","144","Stäket","12/1/2019 - 12/31/2019, Every day, Daily Average",1238,967,1584
"473","Frejgatan 20, Stockholm","145","Kungsängen","12/1/2019 - 12/31/2019, Every day, Daily Average",1507,1281,1772
"473","Frejgatan 20, Stockholm","146","Margretelund","12/1/2019 - 12/31/2019, Every day, Daily Average",1560,1352,1799
"473","Frejgatan 20, Stockholm","147","Rotebro centrum","12/1/2019 - 12/31/2019, Every day, Daily Average",961,706,1307
"473","Frejgatan 20, Stockholm","148","Rotebro industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",983,727,1327
